@relation alphaLeft

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z}

@data
-37.76068,15.561613,22.610725,31.954334,27.169281,-60.267437,31.262278,16.011528,32.61432,29.648605,-28.42931,-6.637314,38.291237,-34.83336,-6.57975,16.263023,-80.556625,-24.472458,35.450027,25.891874,9.021332,-20.642487,28.844494,25.60273,-32.506035,-11.304626,-1.6793518,25.535395,-24.048157,-28.617401,-10.450943,6.0333405,35.280006,-19.75587,28.186016,-15.946125,-12.294571,-13.128536,39.220066,22.432096,2.0853577,35.480133,-7.220703,-11.160004,3.980873,-19.665192,-15.200405,3.7564316,-6.528404,-34.67604,33.230473,44.19069,32.744934,6.497917,-16.119614,35.060043,-26.597702,-12.509525,16.46151,-1.9161224,a
-36.75122,16.925365,23.313286,31.651672,26.980743,-60.865326,30.876839,14.950821,31.823568,30.197586,-29.08685,-5.748047,38.777725,-33.818672,-6.1117325,17.403313,-81.241806,-22.818344,35.03679,26.57554,10.440407,-20.613266,30.034039,26.319344,-32.506054,-9.396103,-2.9595337,25.528173,-22.952137,-28.391647,-10.315075,7.1105347,35.19057,-19.145912,29.476526,-15.687279,-13.289673,-12.453438,39.91328,23.826897,3.2323303,35.756264,-6.5407677,-10.186844,4.4419403,-20.10022,-14.486881,4.069092,-5.155792,-33.95352,31.321737,45.922455,32.619057,7.427391,-14.53804,35.582474,-26.330826,-11.762207,16.918419,-0.13279724,a
-36.25293,17.913158,23.68277,30.248009,26.980072,-61.453983,29.024471,14.153267,30.75179,30.566711,-29.71865,-4.99498,38.67188,-34.046356,-6.474989,17.23114,-81.90377,-22.037735,34.79097,27.323278,10.514679,-20.216995,30.04104,26.047554,-32.395344,-8.566467,-3.3721771,26.080196,-23.23658,-28.020798,-10.933449,7.8818817,34.936428,-19.675724,29.751762,-15.409199,-13.703384,-12.351843,40.227592,24.497185,3.8454132,36.091106,-7.126419,-9.571045,4.8001785,-20.389343,-13.95896,3.4949036,-5.2503433,-33.507553,30.451086,46.75325,33.1324,6.9825363,-13.805374,36.14501,-26.396896,-10.8398,16.418663,0.6257019,a
-35.75946,18.49898,23.863815,30.45185,26.60492,-61.360466,29.340185,13.948341,30.511549,30.6987,-29.682613,-4.5152893,39.051792,-33.510715,-6.0481606,17.803291,-82.02037,-21.273972,33.859818,27.522907,11.134544,-20.068253,30.776037,26.452621,-32.423317,-7.737213,-3.8605347,25.881456,-22.791878,-27.927246,-10.747429,8.417786,35.049564,-19.286304,30.43249,-15.385109,-14.111832,-11.914219,40.72054,25.16357,4.221863,36.453423,-6.8192673,-9.253586,4.880768,-20.600052,-13.617451,3.6749268,-4.637047,-33.14673,29.388407,47.48912,32.95366,7.4867935,-13.103226,36.333218,-26.333633,-10.59383,16.726006,1.3739166,a
-35.25528,18.784956,24.542496,30.725471,25.47197,-61.914165,29.654676,12.795502,30.431541,30.279465,-30.338055,-4.621399,39.33143,-32.60762,-5.673031,18.633705,-82.55067,-20.504883,32.799255,27.650784,12.344345,-20.703537,31.344982,26.855598,-32.34938,-6.725357,-4.9081726,25.841267,-21.676826,-28.23346,-10.716843,8.527496,35.11754,-18.812767,30.992424,-15.067722,-14.717575,-11.58234,40.943615,25.611599,4.708908,36.44853,-6.1485558,-9.010544,5.3669586,-20.616089,-13.408642,3.9259262,-3.4021225,-32.96518,28.65366,48.25653,32.815517,8.210609,-12.438202,36.441135,-25.738647,-10.505169,16.977875,2.2710419,a
-35.381836,18.589676,24.632385,30.74723,24.89534,-61.97599,29.714792,12.62281,30.495905,30.045044,-30.453514,-4.848358,39.30563,-32.55278,-5.7087765,18.6221,-82.73879,-20.698578,31.862488,27.620146,12.41037,-20.960266,31.23467,26.802658,-32.33045,-6.87442,-4.9907227,25.97082,-21.436638,-28.224564,-10.806511,8.357483,35.1548,-18.842121,30.95262,-15.013763,-14.716782,-11.653204,40.66178,25.458946,4.8098907,35.994423,-5.8758354,-8.904449,5.441185,-20.539383,-13.496183,4.127014,-3.3108444,-33.104233,28.869858,48.17308,32.964542,8.202988,-12.609772,36.45437,-25.61087,-10.606604,16.923553,2.1599731,a
-35.616714,18.243538,24.543022,30.844767,24.589737,-61.87558,29.866226,12.772293,30.718525,29.788925,-30.360481,-5.1814575,39.215958,-32.706276,-5.825117,18.491371,-82.721275,-21.052277,31.312866,27.428383,12.226486,-21.156937,30.942656,26.737595,-32.340126,-7.2500763,-4.789551,25.92903,-21.538208,-28.341217,-10.865452,8.039017,35.22263,-18.956623,30.659168,-15.053612,-14.526703,-11.838823,40.440186,25.159721,4.5126343,35.826992,-5.8402863,-9.168823,5.3797073,-20.417892,-13.703562,4.2324677,-3.4291763,-33.225098,29.406261,47.80786,32.784893,8.200394,-12.833176,36.22379,-25.602951,-10.830503,16.984642,1.9107513,a
-35.99823,17.393085,24.655495,31.127865,23.665405,-62.02646,30.231363,12.547447,31.26657,28.909012,-30.518772,-6.13797,39.02257,-32.641087,-5.9939423,18.536293,-82.86093,-21.622742,30.4346,26.914251,12.337486,-21.997711,30.376783,26.729675,-32.312855,-7.7583923,-4.7652893,25.73201,-21.40308,-29.056519,-10.966904,7.2147064,35.337574,-18.986958,29.970154,-14.980671,-14.288345,-12.215435,40.075283,24.366592,3.7640686,35.693787,-5.7310257,-10.031616,5.4774246,-20.056488,-14.189941,4.289253,-3.306572,-33.775482,30.587822,47.12108,32.682854,8.263611,-13.573685,35.834335,-25.239334,-11.412899,16.994232,1.2660065,a
-36.576904,16.063751,24.808105,31.516603,22.324188,-62.32228,30.726194,12.199905,32.119747,27.578003,-30.821758,-7.5589294,38.56272,-32.68654,-6.394903,18.48906,-83.14365,-22.509964,29.146698,26.078554,12.360603,-23.19574,29.304632,26.651863,-32.257793,-8.595749,-4.614746,25.362606,-21.402409,-30.146774,-11.2329445,5.96846,35.386444,-19.17749,28.719667,-14.855637,-13.833847,-12.873579,39.47408,23.114511,2.5334778,35.567337,-5.795227,-11.426941,5.6327744,-19.460983,-14.938581,4.193184,-3.222145,-34.478577,32.519222,45.90329,32.154476,8.34063,-14.525269,35.016556,-24.695786,-12.241217,17.027092,0.39872742,a
-36.608948,15.830184,24.807114,31.881895,21.983673,-62.18007,31.22535,12.262444,32.355217,27.322983,-30.691708,-7.73851,38.644127,-32.408764,-6.2087307,18.721298,-83.00297,-22.570648,28.81572,25.873398,12.573723,-23.405487,29.423193,26.837616,-32.2832,-8.628433,-4.690689,25.173798,-21.131798,-30.340363,-11.046181,5.83461,35.460255,-18.909271,28.726297,-14.893772,-13.828033,-12.835703,39.465546,22.962685,2.388382,35.55635,-5.5155334,-11.6194,5.598648,-19.38176,-15.053976,4.405388,-3.0001907,-34.638535,32.629536,45.808243,32.123314,8.564758,-14.729218,34.936073,-24.566788,-12.500055,17.192924,0.2379303,a
