@relation alphaRight

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z}

@data
-6.805481,54.769287,8.928523,-36.00483,31.096466,-16.565155,-55.577732,17.949417,-36.726955,-68.58794,1.8938446,-41.866726,-11.890013,-10.935196,-27.91634,-29.969463,-45.3087,-32.35546,-48.335304,-55.13282,-25.295132,-61.37931,-54.669693,-16.850142,-0.9363861,-19.234283,-13.199314,-24.503267,-56.15026,-15.491233,-46.37336,-69.12404,-10.711739,-62.267006,-72.05927,-5.131403,9.038044,-22.218262,4.73083,-9.471535,-58.171005,0.5470543,-30.645832,-71.488045,3.6512957,-46.82705,-74.07827,8.1758795,14.714676,-23.146088,23.345028,1.4115372,-51.98636,18.210312,-13.35088,-61.92299,17.999035,-28.639053,-65.05506,19.560074,a
-12.987888,53.322937,-10.662448,-31.49924,16.639816,-30.017319,-43.855247,-7.5945435,-44.932625,-52.990894,-26.819626,-45.565212,-3.8140793,-20.2751,-24.792053,-31.078526,-48.011734,-20.86272,-51.914883,-46.770752,-13.936554,-63.775024,-38.23784,-8.62571,3.809906,-22.168762,-6.2519226,-26.049206,-54.042908,-2.2628188,-51.57889,-52.56337,1.6753759,-65.46127,-42.851013,3.980404,9.290924,-18.248611,13.356093,-7.7862816,-55.13855,12.898204,-31.20977,-64.35236,14.23099,-47.91827,-61.54303,15.626208,10.292065,-12.828827,32.042908,0.22896576,-43.236115,35.081123,-14.742758,-52.856583,35.14643,-30.334944,-54.207977,34.13036,a
-8.601082,51.964508,-18.74619,-28.974432,13.436554,-31.53119,-42.326283,-12.150833,-42.90901,-52.503597,-30.815857,-44.13491,-4.4604683,-23.362091,-21.785086,-35.958004,-45.448135,-14.840897,-55.931686,-38.222,-9.139977,-65.15769,-26.117584,-5.9709916,2.358944,-23.05246,-2.8418221,-31.889595,-49.615234,3.8587089,-56.653618,-42.41452,5.9458985,-67.92969,-29.561066,5.8963885,7.43943,-16.701889,16.230215,-14.022488,-50.76735,21.855042,-38.88914,-54.556915,23.473518,-54.28763,-47.359375,23.165386,8.198677,-8.697372,33.976326,-6.08181,-36.621567,41.14617,-22.958872,-42.267365,41.151646,-38.079987,-38.99579,38.578,a
-8.043865,50.52472,-22.54456,-29.181356,10.783615,-28.609491,-42.73422,-15.630447,-37.61274,-52.44162,-34.12755,-41.746483,-5.001976,-24.869751,-19.918549,-36.745342,-46.03282,-11.398376,-56.214924,-37.260483,-6.140306,-64.34717,-24.196793,-3.9301162,2.0040436,-23.233673,-1.1119957,-32.741493,-48.53624,7.6039615,-56.918537,-39.438477,9.075197,-66.83055,-25.552963,7.9314075,7.358345,-15.538956,17.381418,-15.502325,-47.83554,26.710339,-40.62026,-48.899323,28.523731,-54.91483,-39.796432,27.176258,8.402687,-6.230896,34.464825,-7.350666,-32.532227,44.220432,-24.70419,-36.475967,44.331226,-39.24124,-31.645386,40.967525,a
-6.612377,48.668335,-26.709135,-28.368132,8.803299,-26.077538,-42.02247,-18.18544,-32.97742,-49.291073,-34.6373,-44.37776,-6.095402,-26.287796,-17.665527,-38.78732,-45.366333,-7.9003897,-56.49418,-33.063538,-3.5675058,-61.33567,-18.307388,-2.8640125,1.2008133,-23.299591,0.8623781,-35.135933,-45.535126,11.286509,-57.129158,-31.906174,11.172504,-63.072872,-16.137665,8.275866,7.0478363,-14.247604,18.575579,-16.844694,-44.509018,31.463625,-41.948826,-43.032425,33.17618,-54.9177,-32.361725,30.538443,8.624485,-3.5590515,34.788,-8.474583,-27.268402,48.22632,-26.15918,-29.254211,48.373993,-39.737503,-22.94394,43.706593,a
-4.7026253,47.991913,-28.290806,-27.923307,8.971146,-27.236172,-42.411987,-17.594452,-34.076393,-49.198174,-32.961212,-47.163578,-6.9001694,-26.608643,-16.871315,-40.79084,-43.64615,-7.4237905,-56.56401,-28.73053,-3.902823,-58.44878,-13.299545,-4.0054803,0.36973953,-23.287903,1.610261,-37.21997,-43.343536,12.01345,-57.183823,-26.940872,10.649501,-60.122013,-10.523087,6.882865,6.411537,-13.885376,19.073723,-18.561361,-42.731766,33.107536,-43.48093,-39.07904,34.109215,-54.987217,-27.111069,30.450562,8.253952,-2.7460175,34.95118,-10.004353,-25.086075,49.18692,-27.78807,-25.55838,48.711075,-40.29827,-17.982025,43.04815,a
-2.4410744,48.376343,-27.91916,-26.593285,9.913818,-28.406385,-41.50198,-16.121674,-36.301003,-48.010937,-30.702408,-50.39,-7.697315,-26.17543,-17.200901,-43.148705,-40.65268,-9.344805,-55.94458,-23.07779,-6.019975,-54.11893,-7.6396027,-6.109274,-0.5590553,-23.297363,1.4058046,-39.94451,-40.165955,10.769405,-56.432446,-20.379211,8.300383,-55.28273,-3.818512,4.203409,5.6028557,-14.285797,19.03266,-20.442999,-42.40866,32.57613,-44.7877,-35.87726,32.493168,-53.74736,-22.127335,28.057323,7.658409,-3.3614502,35.03288,-11.7178,-24.694794,49.335022,-29.375565,-23.131042,47.764,-39.895294,-13.717499,40.930603,a
-2.4775848,48.1297,-28.339048,-26.15867,9.37677,-28.929558,-40.781284,-16.831696,-36.786842,-47.072163,-31.39885,-50.988487,-8.104271,-26.280197,-16.850666,-44.321236,-38.79921,-9.123077,-54.94577,-19.841614,-5.7474995,-51.014874,-4.8017273,-5.916008,-0.70066833,-23.278748,1.6324482,-41.42668,-36.5446,11.05846,-54.382927,-14.423355,7.558605,-50.131496,1.4954376,2.989025,5.7559166,-14.146515,19.090925,-20.449795,-41.880142,33.119987,-44.534042,-34.44644,32.97963,-52.71123,-20.287125,28.325579,8.098232,-3.0880737,34.95906,-11.305508,-24.061417,49.748024,-28.873747,-21.824738,47.997475,-38.664143,-11.890884,40.825203,a
-2.3856735,47.529755,-29.341766,-25.839327,8.634644,-29.512291,-40.263813,-17.74533,-37.15901,-46.31523,-32.40068,-51.37397,-8.310833,-26.591705,-16.250666,-45.325718,-36.701294,-8.780418,-53.713326,-16.620377,-5.607054,-47.959793,-2.181549,-5.9166327,-0.8035736,-23.235245,2.1292887,-42.24701,-34.044907,11.56506,-52.95927,-10.927277,7.061081,-47.02539,4.303589,2.0437307,5.780918,-13.766556,19.359262,-20.564877,-41.012527,34.065186,-44.344284,-32.67183,33.514496,-51.591354,-18.191833,28.33544,8.252693,-2.3858032,34.977913,-11.597511,-22.380096,50.51168,-28.971605,-19.302048,48.192917,-37.74084,-9.001236,40.25763,a
-4.485512,48.599396,-27.270634,-26.077244,8.69487,-29.35841,-39.225433,-17.932571,-38.33312,-44.433403,-31.978683,-53.467453,-7.230419,-26.19931,-17.36635,-44.29572,-36.618088,-10.6045,-51.9244,-16.422668,-6.407651,-45.566235,-2.241867,-6.011351,0.1861763,-23.318298,1.1307135,-41.05912,-35.339478,9.948714,-51.741722,-12.068832,6.2309313,-45.725815,3.3231506,1.8423653,6.418804,-14.326004,18.742542,-19.754128,-42.481964,31.968544,-43.203094,-33.281998,31.053638,-49.409023,-18.238098,26.136284,8.456493,-3.5303345,34.832134,-11.514004,-24.798431,48.394867,-28.61925,-20.960083,45.330925,-36.252476,-9.660889,37.582565,a
