@relation num2

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute feat60 numeric
@attribute feat61 numeric
@attribute feat62 numeric
@attribute feat63 numeric
@attribute feat64 numeric
@attribute feat65 numeric
@attribute feat66 numeric
@attribute feat67 numeric
@attribute feat68 numeric
@attribute feat69 numeric
@attribute feat70 numeric
@attribute feat71 numeric
@attribute feat72 numeric
@attribute feat73 numeric
@attribute feat74 numeric
@attribute feat75 numeric
@attribute feat76 numeric
@attribute feat77 numeric
@attribute feat78 numeric
@attribute feat79 numeric
@attribute feat80 numeric
@attribute feat81 numeric
@attribute feat82 numeric
@attribute feat83 numeric
@attribute feat84 numeric
@attribute feat85 numeric
@attribute feat86 numeric
@attribute feat87 numeric
@attribute feat88 numeric
@attribute feat89 numeric
@attribute feat90 numeric
@attribute feat91 numeric
@attribute feat92 numeric
@attribute feat93 numeric
@attribute feat94 numeric
@attribute feat95 numeric
@attribute feat96 numeric
@attribute feat97 numeric
@attribute feat98 numeric
@attribute feat99 numeric
@attribute feat100 numeric
@attribute feat101 numeric
@attribute feat102 numeric
@attribute feat103 numeric
@attribute feat104 numeric
@attribute feat105 numeric
@attribute feat106 numeric
@attribute feat107 numeric
@attribute feat108 numeric
@attribute feat109 numeric
@attribute feat110 numeric
@attribute feat111 numeric
@attribute feat112 numeric
@attribute feat113 numeric
@attribute feat114 numeric
@attribute feat115 numeric
@attribute feat116 numeric
@attribute feat117 numeric
@attribute feat118 numeric
@attribute feat119 numeric
@attribute sign {6,7,8,9,10}

@data
15.98674,32.347946,44.8819,-1.0898438,47.467712,4.0341816,-9.235794,54.39749,-26.078331,-12.126564,56.56543,-47.713146,-123.27482,62.915314,165.95786,-96.725624,53.996338,128.48325,-78.766136,47.77185,102.79562,-66.87886,43.17148,84.944824,-136.38446,68.49936,87.449524,-135.09668,60.449554,43.016468,-131.0686,44.540863,22.01688,-127.091835,29.77713,13.275433,-174.81873,59.413055,98.99588,-182.63187,53.80493,67.28253,-182.10114,43.139893,52.38279,-178.22327,30.092575,43.681835,-22.845772,13.684433,-19.86272,7.9499664,31.519577,-38.69997,21.20073,36.827972,-21.110104,22.977556,36.292587,-5.204914,126.21336,-69.71921,-129.9048,157.20743,-43.328583,-149.49197,171.84106,-34.627518,-128.98726,175.42548,-34.039047,-111.75353,139.08856,-85.885956,-124.52261,165.1834,-60.704132,-145.46169,179.19649,-46.856003,-128.55185,183.06326,-42.896683,-111.93823,154.46927,-97.79941,-119.60041,170.86272,-75.40013,-137.70454,179.55914,-63.79666,-126.490326,183.11008,-59.199356,-111.416084,24.3777,4.687622,-22.078823,26.12358,-0.7562866,-61.936413,28.032349,-13.025421,-80.88346,29.728561,-25.813873,-90.37014,-16.919006,1.046936,-18.623234,-15.795486,-4.897278,-60.058884,-10.91835,-19.698181,-80.8249,-5.9152374,-34.013824,-89.581116,6
50.364853,-3.5325317,27.69934,46.63536,23.970291,-9.962833,43.916634,42.559967,-35.811905,40.964676,54.021317,-54.27931,-1.8002472,23.832489,-23.0758,-16.880547,24.45636,-60.40551,-23.922428,23.142197,-81.8962,-28.155228,21.392654,-97.2403,-15.537708,10.541779,-15.024986,-41.03296,13.752548,-52.179226,-53.875435,13.7356415,-75.53229,-61.198906,12.784393,-91.521576,-24.254341,-5.504196,-3.9502487,-56.470993,-5.2818146,-30.699959,-74.99355,-6.432556,-48.8568,-86.60903,-7.9068146,-61.877842,-28.744411,-22.930664,4.9312744,-52.975452,-33.854538,-14.86161,-63.61749,-41.018143,-27.955757,-72.00296,-47.63211,-40.076675,12.511795,23.05893,51.26491,42.769737,6.9154053,19.443588,62.411358,-5.487152,-2.5001001,74.746796,-15.3893585,-17.695652,24.704544,0.6548004,-22.203096,33.088364,-26.798172,-50.440617,39.725494,-47.4469,-56.978493,44.734512,-62.617584,-55.892807,4.7425766,-4.909729,-23.058668,14.761734,-37.80269,-52.35754,24.907196,-61.857056,-57.719643,32.596764,-77.43164,-54.80447,-15.310425,-9.696915,-17.485262,-4.5468826,-37.154144,-47.2133,7.1685333,-59.334366,-53.911568,16.187447,-74.163605,-51.589268,-32.07544,-16.452652,-8.76642,-27.855957,-37.17018,-34.285294,-20.190506,-52.2144,-41.42244,-11.044258,-65.52284,-41.879475,6
46.10856,-13.623886,31.697643,49.34648,8.042038,-9.64068,50.87506,22.371094,-38.16232,50.696884,31.330505,-58.182777,6.2819595,18.508408,-26.864414,-14.355133,31.562744,-58.880135,-25.673248,37.602585,-77.55058,-33.466236,41.055817,-91.10652,-11.108635,11.820633,-17.753036,-37.41912,25.50418,-51.830498,-52.295288,31.961792,-72.97982,-61.71999,35.305954,-87.477646,-24.667656,1.580658,-4.8147717,-52.29887,9.625931,-35.233494,-68.854965,13.459595,-54.862026,-79.66985,15.3906555,-68.49835,-34.611023,-11.653854,6.5298862,-62.9083,-2.977127,-8.376864,-78.31423,1.1860199,-17.396404,-91.676575,4.3773193,-25.895866,10.164009,24.571991,51.080925,41.253418,8.332108,20.121784,62.84429,-2.3084106,-0.8961954,79.807816,-6.405182,-14.184414,26.72705,-4.0259857,-19.317781,35.708572,-40.953506,-32.62201,39.799625,-62.734886,-27.93163,41.766827,-76.12061,-19.365925,6.3898163,-6.9953003,-22.102842,16.48603,-47.842224,-38.54514,24.063019,-73.003586,-34.096516,28.987648,-87.401306,-25.228079,-14.596451,-8.759354,-18.557781,-1.0259933,-48.332535,-20.378632,6.4870987,-60.91638,1.0521984,8.744049,-60.162216,18.400906,-32.936867,-12.690338,-11.4233265,-22.787682,-38.070175,-30.160736,-14.031975,-54.17482,-30.231579,-5.991371,-66.63479,-23.822592,6
45.251266,-11.679092,33.649246,49.74762,7.37854,-8.84008,51.25107,19.412918,-38.404507,50.726074,26.648743,-59.10448,7.3386383,14.142014,-29.1525,-12.727333,28.714066,-60.87511,-23.941372,36.01042,-79.155525,-31.80906,40.60048,-92.325554,-10.408157,9.827026,-19.323544,-36.196217,23.540695,-53.78607,-51.097534,30.422394,-74.7834,-60.74289,34.26552,-89.00989,-24.53571,2.3177643,-5.1769514,-50.97724,10.259506,-36.661606,-66.87077,13.823685,-56.879734,-77.273476,15.446472,-70.87225,-35.23042,-8.585754,7.8407564,-63.187958,-1.7390137,-8.582726,-78.441734,1.3473816,-18.268969,-91.695305,3.528305,-27.244696,13.823212,18.852524,52.62938,41.75288,-0.58535767,20.522425,64.27548,-10.26091,0.022231102,83.91907,-9.641586,-9.717763,25.700668,-4.8053284,-20.496464,30.369244,-42.718063,-33.22992,32.13243,-64.645195,-27.820938,32.782944,-77.9104,-18.874996,5.1058807,-5.5738525,-22.828968,13.043282,-48.28026,-35.23523,18.809494,-73.10897,-27.451855,22.445862,-86.64168,-16.78236,-15.853996,-5.649399,-18.732567,-6.245018,-45.98384,-24.589989,0.63479614,-61.72991,-5.126952,3.5629425,-63.496468,12.047025,-34.300064,-8.443787,-11.339446,-25.174461,-37.950897,-23.35139,-17.325195,-52.641884,-15.696948,-11.079361,-60.388428,-2.9706755,6
44.734016,-11.714264,34.32191,50.206062,7.646805,-7.9150286,51.984444,19.75267,-37.43498,51.977272,27.325485,-58.020752,7.900589,12.511383,-29.74503,-11.734467,28.781982,-60.90661,-22.775478,37.213318,-78.8,-30.568249,42.710358,-91.66368,-10.00975,9.288239,-19.794777,-35.459785,24.390533,-53.92645,-50.235413,32.035934,-74.74767,-59.835953,36.337402,-88.87292,-24.426311,2.94693,-5.3707266,-50.10636,13.375458,-36.760056,-65.62897,18.44609,-56.94465,-75.83399,21.045822,-70.935326,-35.53093,-6.9570007,8.09493,-63.306007,0.4727478,-8.384645,-78.50468,3.886673,-18.047577,-91.74491,6.3517914,-26.969276,9.992233,19.613892,53.214664,41.579243,1.9224548,23.583138,67.45297,-4.6699066,6.0265827,88.118996,-0.7710266,-0.20527077,27.07267,-4.495941,-18.72372,32.74306,-44.188423,-22.42036,33.61635,-63.97133,-11.41858,33.157814,-74.57442,0.5723772,6.692787,-5.6881104,-22.386417,17.89051,-49.4,-24.539478,23.08754,-71.18603,-10.094583,25.388115,-81.57171,3.942524,-14.485046,-6.133972,-19.665497,-3.5975876,-46.35521,-23.815731,2.385086,-62.35874,-4.2664347,4.426674,-64.876396,12.942097,-33.319336,-9.217926,-13.462033,-22.723175,-40.123108,-19.013908,-15.348526,-51.42675,-6.6095057,-10.566978,-54.28891,8.5536785,6
44.35199,-11.9561,34.74685,50.53856,7.3118896,-7.4340076,52.765747,19.368881,-36.943504,53.64801,27.27359,-57.3851,8.435341,11.229904,-30.218987,-10.471985,28.238586,-61.43644,-21.121113,37.096146,-79.36143,-28.648384,42.89673,-92.24988,-9.606873,8.484665,-20.36411,-34.49937,23.873184,-54.77793,-48.9675,31.664597,-75.76036,-58.376503,36.04454,-89.98998,-24.238876,2.6820374,-5.930238,-49.154636,13.785767,-37.70163,-64.25466,19.342865,-58.077797,-74.20728,22.305466,-72.17775,-35.599194,-6.749069,7.661003,-62.978584,1.3046265,-9.183574,-77.9711,5.046768,-19.044989,-91.03793,7.782364,-28.141783,10.641899,15.939728,54.579834,43.938725,2.2450104,24.704601,70.52938,-1.9384613,7.483175,91.22154,3.080246,2.213583,28.899712,-3.0640106,-18.58892,34.306385,-42.919594,-20.489502,34.512264,-62.04351,-8.348725,33.497364,-72.0316,4.1263275,8.582146,-4.0950165,-22.627468,20.32203,-47.71102,-23.38546,24.87947,-68.95131,-7.9460726,26.495697,-78.93327,6.4741807,-12.630043,-4.8261566,-20.258675,-1.1186829,-45.04525,-22.108624,4.233795,-60.571228,-1.9995394,5.8004456,-63.401123,15.21027,-31.53453,-8.418701,-14.563235,-20.61087,-39.514465,-18.021576,-13.2999115,-49.98526,-4.870948,-8.533699,-52.34407,10.383446,6
44.432175,-11.365784,34.827446,50.537376,7.447464,-7.5699863,52.946846,19.336334,-37.133327,54.06407,27.19403,-57.58155,8.197334,11.360199,-30.124249,-10.582134,28.967834,-61.085754,-21.170261,38.211456,-78.85122,-28.662449,44.314285,-91.61999,-9.7921295,8.798691,-20.124538,-34.41057,24.933548,-54.39337,-48.76333,33.32614,-75.222626,-58.128315,38.19638,-89.32132,-24.3558,3.208023,-5.5387,-49.31443,15.406342,-36.87202,-64.504036,21.757889,-56.947235,-74.55637,25.317581,-70.83678,-35.670853,-6.034973,8.218512,-62.99151,2.5093536,-8.479055,-77.94089,6.4060516,-18.346104,-90.95108,9.18013,-27.51217,5.209244,16.935562,54.794167,40.211273,4.5727844,26.320086,65.97058,-1.4633942,8.399027,86.64554,1.4052582,1.6582036,28.629402,-3.5980988,-16.466068,33.496063,-43.513123,-14.364134,32.147995,-61.424072,-0.5602989,29.760643,-70.30968,12.545631,8.654808,-4.579361,-21.964142,19.750526,-48.16469,-17.726433,22.467453,-68.005035,-0.14025164,22.591347,-76.88993,15.066288,-12.678894,-5.130905,-21.144579,-1.7789841,-44.962585,-14.206385,1.0575409,-56.80658,8.722946,0.9029236,-57.47309,26.22072,-31.976799,-8.493286,-16.784601,-20.712555,-39.4442,-13.125349,-14.597771,-47.18033,2.3274324,-10.978485,-47.318085,18.070972,6
44.560684,-9.807877,35.135468,50.82409,7.532318,-7.8626842,53.804237,18.618958,-37.68461,55.57,26.062485,-58.241783,8.045769,10.953171,-30.315247,-10.689747,28.068192,-61.578136,-21.240383,37.04918,-79.49994,-28.698238,42.974655,-92.371925,-9.914589,8.218155,-20.309174,-33.99092,24.826797,-54.736458,-48.024796,33.585648,-75.632095,-57.18135,38.744553,-89.76499,-24.400879,2.610794,-5.6528587,-48.996834,15.151398,-37.137478,-63.947643,21.70662,-57.326157,-73.82862,25.39177,-71.30565,-35.5635,-6.597595,8.251308,-62.57177,1.7555084,-9.04064,-77.28011,5.3408203,-19.376835,-90.00455,7.672928,-29.052961,-2.4175491,7.1302795,57.093475,36.07727,3.7891998,30.716599,62.351925,1.4783783,12.676514,82.89005,6.653488,6.973436,30.082726,4.0818634,-13.49403,41.3373,-34.4821,-16.22655,41.624294,-54.287987,-5.2351866,39.48899,-65.38886,6.1063232,11.118454,0.9847412,-21.30047,28.683556,-40.629333,-20.600048,32.56942,-61.91835,-5.0445795,32.459366,-72.62972,8.935759,-9.779076,-3.0775757,-23.001566,6.6151505,-41.28398,-18.000652,8.554749,-54.790047,4.0879116,6.5367737,-57.525085,21.266026,-28.479355,-10.198105,-21.477879,-12.254181,-39.053024,-19.938353,-6.512924,-47.726532,-4.8441515,-4.497612,-49.650032,11.06861,6
44.255844,-5.460388,36.441113,51.326653,7.7771606,-7.8705616,55.247414,16.204773,-38.44416,57.861504,21.937088,-59.45436,8.171043,9.036667,-30.907822,-10.350079,23.91539,-63.41787,-20.75322,31.606628,-82.01315,-28.089165,36.59784,-95.343216,-9.850636,6.3245087,-21.006315,-33.43503,20.570892,-56.805355,-47.13313,27.904877,-78.458755,-56.03981,32.10103,-93.06213,-24.375916,1.2247162,-6.2039204,-48.36752,11.387543,-38.985455,-62.91295,16.518112,-59.87057,-72.5047,19.271957,-74.25997,-35.428482,-7.386566,8.16309,-62.277954,-0.8307495,-10.122421,-76.88463,1.825531,-20.87491,-89.51818,3.3928986,-30.820457,-3.6036606,11.747543,56.26152,35.603207,7.351181,31.116997,62.0957,3.8385773,13.59697,82.57979,8.629623,7.3865404,30.125603,4.0943604,-13.394215,42.761192,-34.126328,-12.481895,43.521408,-52.85231,0.24306679,41.561096,-62.982414,12.48876,11.41777,-0.36264038,-21.16135,30.616844,-41.066956,-17.248629,35.24373,-61.035942,-0.21553802,35.460022,-70.74425,14.477913,-9.284866,-5.347885,-22.789587,8.257042,-42.26059,-13.665852,10.11013,-53.426315,9.700214,7.800873,-54.574547,27.020409,-27.731094,-13.026855,-20.920366,-10.486893,-40.893356,-15.988039,-4.8373337,-47.732803,0.053509235,-3.1335754,-48.013397,16.115757,6
44.282516,-1.9740753,36.762913,51.927048,6.9491425,-8.521643,56.37236,12.472534,-39.68048,60.29895,16.907516,-60.800003,8.064079,6.8719788,-31.487572,-9.75256,18.167465,-65.78467,-19.723415,23.715256,-85.35427,-26.729053,27.11319,-99.34691,-9.924145,4.581482,-21.420113,-33.406456,14.451447,-58.728542,-46.99238,19.11206,-81.178406,-55.79414,21.495865,-96.24632,-24.383022,0.33372498,-6.287359,-48.635384,7.4524536,-39.67382,-63.28852,10.556839,-60.880627,-72.9167,11.863861,-75.448746,-35.307407,-7.386368,8.671993,-62.281715,-2.4589233,-9.938206,-76.95404,-0.715744,-20.787672,-89.644394,0.038604736,-30.75579,-3.3230133,11.199753,56.39036,35.805237,6.686783,31.144238,62.81581,4.1447906,14.259065,83.25511,9.660538,8.520352,29.774506,5.3303986,-13.739951,43.831875,-32.397522,-13.186124,45.435154,-51.147408,-0.57516813,43.997902,-61.4104,11.632374,11.1506195,0.22224426,-21.30526,31.70839,-39.83737,-17.650192,37.257328,-59.638298,-0.696507,38.04483,-69.352104,13.973781,-9.367645,-5.5333405,-22.711304,9.586937,-41.76526,-13.684611,12.027542,-52.82997,9.675522,9.915634,-54.08145,27.01374,-27.484413,-13.920013,-20.66917,-9.134361,-41.106705,-15.937152,-3.0811234,-47.750916,0.039066315,-1.2071762,-48.018677,16.082567,6
