@relation numRight

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {1,2,3,4,5}

@data
27.518303,-27.364151,42.50452,20.747358,-22.682724,-3.5234601,-0.8459244,-31.390244,-25.384922,-16.081928,-42.55751,-14.26079,19.357512,18.0766,-20.025606,27.339476,-10.852463,-46.838264,31.68137,-28.182175,-60.746075,34.6942,-40.771835,-70.15666,-1.1426125,15.525421,-18.311657,12.087939,-20.70427,-41.782112,20.31304,-43.106293,-53.614594,25.856403,-58.171295,-60.837452,-20.312897,8.286972,-12.336357,-4.908354,-24.852097,-32.734264,5.1347504,-46.60417,-42.700172,12.020637,-61.557434,-48.640354,-36.289997,-2.6620636,-7.12769,-21.222172,-24.86496,-26.54448,-12.314884,-37.84172,-35.921017,-4.2698765,-49.510345,-43.654724,1
24.002953,-45.44391,25.911337,14.726416,-21.865845,-13.386975,-9.721239,-18.74643,-33.699425,-25.176641,-31.830582,-25.30147,21.39132,21.362335,-13.73186,21.88244,0.26708984,-47.99949,21.748722,-13.743988,-65.783485,21.52281,-24.292435,-77.81739,0.85497475,21.398254,-10.91078,6.7930546,-5.8818207,-46.3937,10.92045,-26.077896,-63.263603,13.784603,-40.38803,-73.10584,-19.024775,15.320297,-6.067956,-10.647017,-9.583817,-38.643574,-4.5754013,-29.397003,-54.261154,-0.30620575,-43.754456,-63.313194,-36.455475,5.6931763,-3.6661034,-26.384062,-9.252106,-31.455032,-20.289179,-18.826569,-45.836884,-14.73649,-27.730255,-58.10804,1
-4.2515526,4.1098175,57.308586,34.88088,-12.1688385,37.45112,63.483017,-20.865463,26.12335,85.372604,-20.220657,24.719458,30.68344,3.7579498,-12.210113,46.272335,13.473312,-48.06151,56.0263,-1.7194824,-61.76011,57.8107,-17.393784,-58.971825,-28.014313,-8.025452,-22.986174,-22.372536,-17.418686,-54.277176,-18.392204,-24.293396,-70.80639,-14.311981,-31.476974,-84.69713,11.914827,1.749649,-20.827368,26.848824,-6.982834,-62.579643,36.07053,-13.89151,-86.62427,42.36622,-19.400528,-102.13171,-9.038734,-1.485672,-23.469566,7.2008095,-9.8363495,-61.173416,17.972963,-17.335236,-83.587585,25.571243,-23.63292,-98.06215,1
3.7956657,32.21707,47.818287,27.635986,4.8607483,18.036922,42.13537,-16.977753,-0.42774582,54.363605,-27.413437,-15.459882,17.339325,11.302765,-26.131067,27.578575,-0.90489197,-63.259014,45.75573,-14.164871,-66.48762,56.22103,-20.122269,-55.850323,3.8285103,-4.2949066,-23.433617,38.11394,-27.879562,-41.403763,60.96691,-37.30124,-31.200523,71.89635,-39.289978,-17.45642,-9.403425,-18.519775,-14.39049,23.955128,-40.27243,-27.787502,46.182724,-46.60913,-15.768712,56.48265,-46.173004,-1.5402241,-18.439405,-32.222702,-2.7265358,6.888838,-49.786713,-15.204417,24.00107,-52.51358,-9.0358715,35.607986,-50.0663,2.0115204,1
-1.1596489,26.807693,51.464462,26.780216,5.118759,20.28459,44.29636,-12.943115,0.18035698,58.516964,-20.019257,-15.195039,18.643187,14.966202,-23.442493,46.313816,-0.85835266,-48.557632,63.331627,-12.006439,-38.196033,66.89294,-15.067474,-22.755665,5.6971664,-1.4456177,-23.513006,46.035286,-21.259033,-30.804428,62.9801,-27.179733,-10.821886,66.37721,-26.968323,6.599264,-7.4853086,-17.203125,-17.093452,27.30555,-36.000656,-31.837227,49.224236,-42.98767,-19.369213,58.50846,-43.780792,-4.3810673,-16.679432,-32.56874,-7.689535,8.700211,-49.592026,-21.165945,25.73909,-52.739395,-14.755762,36.85539,-50.749817,-3.0272675,1
-9.158576,28.582916,49.908714,17.425581,27.353638,10.789883,37.328033,23.503723,-14.378089,47.98168,25.61763,-33.719505,-5.0128803,18.010529,-27.916025,32.62063,30.067978,-37.7398,43.49006,34.618393,-18.093414,41.308533,34.654587,-2.0469875,-0.73212814,-2.1859589,-24.210167,40.1857,15.9335785,-33.405937,49.472,25.847397,-10.126689,45.479362,27.818497,7.1192093,4.390419,-20.649796,-14.244339,42.02777,-3.9230957,-24.094215,50.39248,9.360291,-3.0469341,46.108833,13.825958,13.54582,12.382719,-35.312607,-2.7115755,40.914604,-22.920212,-15.183922,47.64602,-9.390381,-4.4462404,45.573204,-0.49256897,9.097858,1
-17.9449,34.83171,43.317245,7.6564884,33.254257,3.395669,27.77648,30.295883,-21.841612,37.187157,31.245743,-41.978256,-10.611789,8.747025,-30.762283,21.614302,30.485428,-43.28524,28.722784,41.710068,-24.539867,25.318102,43.72682,-8.787777,0.004688263,-7.7336884,-23.132412,31.515512,12.307709,-49.680676,42.105705,32.307693,-34.89708,39.883125,39.02443,-18.494175,10.860411,-20.92923,-9.819227,41.087715,4.625458,-25.219479,44.049156,23.930801,-7.556373,38.05597,29.881058,8.068233,23.206972,-29.34903,3.9998455,45.057014,-7.4866943,-9.2064495,42.939163,7.553604,1.5167751,34.721848,13.602753,14.337089,1
-29.38872,32.141922,39.134228,2.9025364,33.990494,4.256027,27.406843,33.68245,-17.075947,40.053642,35.929276,-35.30699,-6.0312634,7.6757355,-32.337006,25.035505,33.627884,-38.45083,27.139872,45.37401,-18.750923,20.799566,46.867508,-3.829667,5.0058575,-7.506012,-22.72489,37.439026,9.974655,-50.15029,47.83268,32.60466,-39.4674,45.207024,42.244034,-24.606237,14.882082,-19.43628,-7.5056076,40.61258,14.369629,-10.298018,32.888916,29.481125,9.921301,21.683802,31.08522,23.664032,25.555475,-26.43843,8.411873,46.224525,-1.3581543,-0.48039246,39.95466,12.875198,9.789419,28.672045,17.235168,20.90155,1
-35.960114,14.817261,43.995728,-3.5485716,32.179382,13.6001625,21.276072,42.155396,-5.0006084,33.769623,51.7865,-20.85676,-5.991404,15.690216,-29.420357,20.98362,46.583405,-27.475962,21.727139,53.841522,-5.559067,15.449249,51.129242,9.268379,7.091175,0.17340088,-23.47328,36.62446,33.6286,-34.896427,39.466133,51.17096,-14.335589,33.31543,53.665558,2.3522358,18.262175,-14.047134,-11.339214,38.08886,22.689178,-2.3601208,27.709936,30.969574,20.544346,16.077671,27.791199,33.713604,29.36514,-23.672867,2.9021912,45.649414,5.9325256,3.4247627,36.47783,15.316345,16.737282,24.110079,14.34671,27.575172,1
-32.931824,20.749908,44.27211,-10.348608,40.134155,6.751913,8.886322,51.56433,-17.109903,17.169188,61.541138,-35.4404,-7.388497,12.648621,-30.691559,20.894058,41.991913,-36.854576,24.82103,53.14807,-16.9085,20.31388,53.501617,-1.1524649,5.669333,-2.6134338,-23.81193,34.250217,32.679688,-32.527504,34.453648,48.586853,-10.364175,27.259298,49.77246,6.1245565,17.2258,-15.846725,-10.801881,39.05375,20.924255,-7.823057,30.651045,32.565796,14.542404,19.810343,31.549927,28.78194,28.964867,-24.265686,3.8034515,45.97683,4.8694153,0.2625904,37.7659,15.87825,13.049158,25.985716,16.3947,24.643517,1
