@relation numRight

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {1,2,3,4,5}

@data
-26.798985,-8.392151,48.87916,-40.624912,-16.262177,7.770874,-45.915874,-23.467392,-20.979282,-44.152466,-30.39811,-40.3688,-26.572754,7.2649994,-22.70177,-22.747787,-7.1044464,-57.603756,-20.881866,-18.655579,-75.45404,-19.736721,-28.4236,-86.89523,-7.077957,8.2140045,-21.739758,-0.80384827,-4.440262,-61.890842,1.1962128,-17.870102,-83.01375,1.640213,-29.217163,-95.1138,11.9014435,6.6475067,-15.242313,17.913445,-4.282913,-52.672176,19.625076,-16.554138,-73.7643,19.770119,-27.13517,-86.422455,28.407303,1.2400055,-7.7711067,38.287666,-7.116226,-36.187077,41.748466,-15.042313,-51.136837,43.284653,-24.078865,-63.28812,1
-19.337883,7.3507233,-23.490437,-15.222382,-4.6965027,-59.228184,-13.853844,-16.145813,-77.18881,-13.418793,-26.37056,-88.274445,0.09577179,6.2006073,-21.79237,6.761589,-6.488083,-61.869404,8.103584,-20.153671,-82.892944,7.6689606,-31.74504,-94.75952,34.073654,-4.4082184,-6.4326744,43.60189,-13.329193,-34.79717,46.254234,-21.694366,-49.672787,46.7259,-31.05745,-61.663754,-23.917564,-7.400116,48.13684,-37.493965,-16.47232,7.193447,-38.25972,-27.05249,-20.983746,-28.031242,-37.818184,-35.356503,18.539383,2.6664886,-14.56522,24.557358,-7.7971344,-52.127293,25.490784,-19.937454,-73.3436,24.686363,-30.572418,-85.93164,1
-24.121212,-9.088577,47.744442,-40.173336,-13.085999,6.8869476,-42.87895,-20.809067,-22.08744,-35.289703,-30.40062,-38.745872,0.3412857,7.481903,-21.38385,6.21579,-2.662094,-62.30076,6.5999603,-15.288147,-84.002686,5.3096466,-26.41095,-96.249435,33.797752,-5.678177,-6.877243,43.426422,-11.985413,-35.901764,45.843765,-19.096527,-51.454376,45.89572,-27.508652,-64.13926,-19.016792,9.681686,-22.900085,-15.44445,-0.3841095,-59.30307,-14.83873,-11.609161,-77.44624,-15.167221,-22.022217,-88.35893,18.6083,2.6227417,-14.485062,24.157661,-5.0675354,-52.78228,24.34945,-15.854309,-74.736755,22.81897,-25.790833,-87.81847,1
-22.329323,-11.64595,48.059753,-42.467995,-9.079727,8.9338875,-49.31122,-12.09433,-20.230534,-47.972717,-17.758438,-40.060413,-19.639915,11.878845,-21.282711,-17.879154,4.4038086,-58.43487,-18.55711,-6.054138,-77.02829,-19.8778,-16.228088,-88.090515,33.244835,-6.2668457,-8.793949,41.78855,-10.225693,-38.56386,43.503464,-16.019485,-54.74368,42.889038,-23.319809,-68.08537,-0.3241577,8.954514,-20.810474,3.5308762,2.237442,-62.662884,2.530159,-8.624771,-85.280334,0.27446747,-18.781631,-98.20761,18.04216,3.0348663,-15.107441,21.749557,-1.2256927,-54.15504,20.63121,-10.033295,-76.94902,18.163643,-18.800629,-90.70596,1
-21.66576,-14.501434,47.584347,-43.349945,-7.7005463,9.814926,-52.121853,-6.9397736,-18.976665,-54.844204,-8.39743,-39.411,-20.224041,11.703217,-20.828114,-18.100277,6.129593,-58.293888,-18.266373,-3.4519958,-77.365036,-19.090553,-13.155777,-88.88823,33.495117,-4.3188934,-9.013878,42.496162,-6.094681,-38.859196,44.810143,-10.673843,-55.350773,44.934067,-16.981552,-69.2025,-0.7888336,9.700531,-20.460743,3.6913834,5.7646637,-62.60384,3.464203,-3.6050568,-85.89964,1.8744278,-12.957794,-99.51448,17.850922,4.4665833,-14.978603,21.734383,2.039795,-54.165874,20.99936,-5.91066,-77.28816,18.912567,-14.278534,-91.353455,1
-22.83709,-15.163712,46.8241,-44.37991,-5.2162476,9.676559,-53.78003,-1.6849518,-18.70739,-58.379227,-0.37046814,-38.812553,-0.36878967,9.713852,-20.466293,5.730953,6.3113556,-62.452255,6.624523,-2.7865753,-85.83958,5.8073845,-12.0078125,-99.6115,33.87952,-3.4050446,-7.8999825,44.041912,-4.3730316,-37.407677,47.174145,-8.515411,-53.87963,48.103374,-14.478958,-67.85266,-19.827763,11.196823,-21.477386,-16.30621,5.925537,-58.881554,-15.551975,-3.4263,-78.05231,-15.698357,-12.965149,-89.74056,18.212223,4.9700317,-14.372818,23.705318,3.144577,-53.39982,24.177052,-4.391968,-76.66713,22.95702,-12.503021,-90.98254,1
-29.099182,8.03093,45.085575,-42.239273,-0.23469543,3.8302422,-50.538834,-6.851799,-24.344433,-55.567,-12.321938,-43.628963,-11.489735,13.427406,-25.835598,-12.374916,0.022590637,-61.314983,-17.204084,-12.594025,-77.83902,-22.62905,-23.475456,-86.771576,4.995825,3.75029,-21.779377,-9.019415,-23.576752,-51.24818,-24.401731,-42.219055,-58.05898,-36.172028,-53.90093,-57.46024,18.988832,-7.1618958,-12.292107,7.609955,-31.725029,-40.99378,-7.572649,-49.061344,-49.199314,-19.891481,-60.020092,-49.800007,28.702238,-19.832565,-2.162569,22.925535,-42.796288,-22.514782,12.8155,-54.856064,-29.63126,0.9019108,-63.818626,-32.69912,1
7.3689003,-0.30633545,-30.420269,-10.731178,-16.341194,-59.65262,-26.437428,-20.482193,-73.49853,-39.461414,-20.635498,-81.1129,6.5251627,47.787483,24.854492,-13.154413,34.98285,-12.451547,-28.171446,24.732796,-36.449593,-39.851467,16.351074,-51.296204,2.1911106,-14.109016,-17.592575,-32.253925,-15.97747,-42.52554,-54.18399,-5.5438156,-48.909046,-67.072624,4.905899,-49.135265,-4.1034117,-23.353325,-0.8650522,-33.89391,-30.356037,-25.766884,-55.033794,-23.358833,-35.892815,-68.43256,-14.42186,-39.47222,-12.985506,-28.828869,14.902965,-39.615345,-30.529156,-1.3104868,-52.86493,-21.861794,-8.211268,-62.0311,-10.425652,-12.318444,1
10.710967,-5.50959,-28.891294,-6.223095,-21.70401,-58.72815,-20.434477,-25.038734,-74.29926,-32.113747,-24.22609,-83.8156,1.6353664,-16.456886,-15.487439,-29.392534,-16.111443,-44.620827,-48.206657,-3.2948837,-55.218124,-58.93096,8.936272,-58.49726,12.155413,48.86924,20.199276,-5.2346077,34.6045,-17.70969,-19.141245,23.829643,-42.143044,-30.4854,15.552971,-57.305656,-8.158155,-22.252708,1.1072502,-37.18779,-19.758018,-25.49481,-54.092216,-5.492134,-35.940624,-63.32749,7.7025604,-39.52088,-19.678549,-24.059856,15.99074,-43.977806,-23.181091,-3.597253,-54.29737,-13.046234,-13.03582,-60.351006,-0.5754547,-19.321217,1
10.231699,-8.090996,-28.454094,-8.115734,-25.100353,-56.972736,-22.900412,-28.572887,-71.969345,-34.803314,-27.72646,-81.2014,1.127245,-17.710896,-14.086086,-30.67692,-17.31023,-42.369278,-49.13449,-4.1477356,-53.16766,-59.396423,8.339493,-56.92617,13.326417,50.124138,15.935638,-4.889044,33.075462,-20.403385,-19.372904,20.55954,-43.642372,-31.115492,11.25901,-57.87999,-8.557449,-21.919838,3.0422478,-37.652496,-21.422909,-23.60065,-54.480576,-7.931282,-35.141098,-63.607033,5.0178146,-39.74946,-19.916182,-22.262146,18.154018,-44.314507,-22.344051,-1.3300886,-54.407288,-12.586105,-11.390583,-60.11181,-0.36558533,-18.4468,1
