@relation alphaLeft

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z}

@data
1.3848267,12.370235,-22.966835,61.728397,-25.597717,21.484634,69.70827,54.127235,38.567738,-18.690308,42.368126,-6.1922607,66.189896,-39.13546,30.29234,-79.31586,2.574768,-7.46579,-33.30745,26.159695,-59.191032,3.1398315,53.615833,-91.23479,-7.396744,-16.017944,11.420074,35.70808,-55.15572,4.763275,-65.95674,-14.962677,74.54178,-55.49154,36.64281,-17.625175,10.797485,12.270355,51.510014,-14.537731,-9.694031,61.4111,-75.9218,-2.8136597,-26.489174,-1.7081299,-25.895504,-88.74963,-57.5892,-0.67767334,-6.692444,-18.409302,3.6186218,-72.71307,-5.7263794,-5.509327,6.54599,-7.9557495,-83.443436,-13.618713,a
-10.043854,-34.980415,-14.392483,66.92347,-16.958038,-0.61782074,81.9653,54.829376,51.093307,-10.248947,26.30138,-16.928299,39.622673,-56.42013,25.374807,-63.610817,-16.458923,-17.275223,-18.829834,-33.278408,-46.861385,-5.53421,34.45774,-76.98903,-19.73965,-25.826782,8.319916,-30.338446,-64.94121,-5.006424,-87.49096,-26.644241,43.231537,-75.29379,12.937746,-22.320646,7.506317,4.820568,18.656061,-9.479261,-25.24762,22.826181,-88.44754,-16.161118,-19.063564,3.9052582,-15.967113,-102.937874,-59.308895,-5.5919495,14.040178,-10.491089,0.37454224,-82.53839,-15.774521,-3.9841022,-3.558258,-33.99068,-96.99156,-24.633423,a
-12.605255,-38.229385,-12.288523,67.50044,-13.046036,-3.253767,83.94584,54.570107,52.125656,-7.0137177,24.086246,-21.109177,34.006996,-58.197433,24.538113,-60.28589,-17.753336,-20.606537,-12.935822,-38.4796,-43.804092,-9.623016,30.570227,-73.88565,-21.572681,-29.271545,5.937683,-37.635036,-65.25355,-9.109802,-90.12262,-30.522476,36.4308,-77.4061,9.221329,-22.991283,5.8593597,3.8552303,13.140749,-12.741232,-30.62143,16.06656,-88.67997,-21.172745,-18.397245,3.3819733,-16.844076,-103.24315,-58.167343,-9.006805,16.668175,-7.597763,-5.9226885,-81.206985,-20.35025,-9.000586,-2.9773712,-34.861134,-95.68024,-29.700302,a
-13.367966,-40.24994,-11.548393,67.109406,-14.49678,-3.849514,83.59503,54.657516,51.724144,-7.7953644,23.328304,-27.70871,30.323637,-58.153557,24.51523,-57.31466,-18.2874,-22.786255,-15.18428,-41.786823,-41.672836,-15.34848,28.324108,-70.23652,-22.263935,-32.455,2.4650269,-42.32539,-64.7329,-13.642548,-89.566315,-37.558624,31.65185,-77.02001,7.004388,-23.353878,4.16185,3.881931,9.310665,-14.627579,-37.416092,11.044565,-87.585754,-27.13707,-18.300667,3.8194733,-16.855757,-101.77234,-57.117905,-11.679977,17.05703,-5.9214783,-10.532709,-79.488106,-24.648132,-12.415766,-0.5366516,-35.235176,-93.52106,-34.939026,a
-13.088409,-40.862026,-11.629822,67.83839,-12.588272,-3.484787,83.89045,54.691658,51.5095,-7.3806458,23.468822,-28.666153,29.504404,-58.100555,24.639853,-56.46969,-18.40787,-23.013992,-13.166046,-42.824726,-41.193447,-16.31453,27.896633,-69.059525,-22.205456,-33.079376,1.5971832,-43.790718,-64.56702,-14.22551,-89.6127,-38.481537,30.51735,-77.01004,6.514687,-23.341433,4.0367737,4.0836344,8.286652,-14.907751,-38.13684,9.610418,-87.39444,-27.843246,-18.336203,4.437668,-16.66464,-101.614624,-56.688145,-12.236206,16.705458,-6.5726624,-11.654131,-78.78735,-25.728119,-13.151625,0.7412262,-35.20467,-92.68324,-36.26538,a
-13.58847,-41.995354,-11.208681,69.1649,-10.938019,-3.205288,85.031685,54.60655,52.070522,-6.357315,23.38509,-31.00801,27.996445,-57.99873,24.382963,-54.971794,-18.324623,-23.92395,-11.531265,-44.5954,-40.067085,-18.24852,26.852865,-67.275795,-22.535273,-34.26201,0.6230774,-46.171898,-64.03124,-16.317307,-89.117615,-41.047165,28.673794,-76.66966,5.305343,-23.468609,3.4710693,3.8691142,6.426624,-15.974281,-41.119125,7.2940245,-86.52159,-30.551086,-18.21788,4.4110413,-16.800917,-100.57466,-55.953354,-13.681122,17.2603,-5.8015137,-13.853025,-77.69293,-27.81163,-14.874191,1.2438049,-35.326893,-91.38837,-38.663574,a
-20.384583,-16.804707,-17.849834,70.37887,-6.6730804,-4.5693626,85.94548,54.168617,53.301926,-1.3993835,21.903557,-38.657227,25.815285,-56.395863,23.491837,-72.824,-19.988565,-37.187363,-7.466446,-15.525359,-53.08772,-23.725037,25.054317,-84.961426,-23.46225,-49.739166,-0.641922,-14.29757,-61.634438,-23.230225,-84.57051,-50.111755,26.290112,-73.40077,3.429237,-23.821785,1.4448547,2.8686392,4.212638,-42.3189,-52.658386,4.941151,-82.07927,-40.290955,-9.845879,-0.9234772,-35.740414,-94.58688,-36.395924,-19.607452,19.471745,-0.24867249,-45.976982,-49.749336,-31.927216,-44.694286,2.1900635,-17.612679,-60.537766,-43.873505,a
-41.10399,-28.711765,2.5962868,55.517647,7.6278687,-28.026077,63.17161,44.17186,49.485638,18.353226,1.4498596,-56.99862,31.84083,-44.270176,15.45236,-24.99161,-48.374733,-56.480377,4.790634,-22.735786,-17.017431,-35.851624,23.907448,-30.18646,-29.38791,-70.13344,0.5753479,-15.854179,-39.74172,-44.646317,-37.995796,-70.95292,38.140656,-42.663155,7.843478,-23.3591,-4.2102966,-3.797348,20.345007,-9.494707,-82.17001,29.817612,-38.178123,-68.11844,-11.259714,-8.457947,-20.863873,-33.408707,-33.94356,-41.74701,30.604898,20.630981,8.763836,-43.04176,-63.803688,0.71394444,-14.909958,-33.85444,-46.867043,-78.868164,a
-41.18689,-22.441843,10.541512,35.430893,24.920395,-41.640762,34.43185,33.36016,43.931545,23.871124,-10.869231,-40.464424,26.662777,-50.261505,3.0774927,-12.445972,-62.376175,-50.633057,31.973434,-6.8104706,-10.975262,-23.750427,12.935643,-8.895506,-31.385868,-55.2799,10.402481,8.241114,-44.401394,-33.03794,-33.329315,-47.642693,36.66388,-43.55893,1.0090637,-20.291365,2.6278687,-12.615419,20.754086,-11.271072,-57.40748,34.26789,-39.405483,-50.2091,-4.5426197,-6.2703094,-23.95135,-30.717293,-27.670624,-38.770798,46.070145,8.836929,24.098969,-24.647532,-54.140198,9.420313,-17.484695,-30.956953,-17.37144,-60.301994,a
-39.057068,-25.93305,12.067192,28.98432,22.229446,-41.686844,24.965733,30.5405,42.21456,21.006104,-12.6401005,-41.03131,20.797096,-51.439358,1.9362907,-12.679108,-62.131077,-49.381935,29.054764,-10.9727,-10.373062,-23.212952,7.9893017,-9.795366,-31.247276,-54.89881,11.07312,3.9268723,-45.08603,-31.704193,-36.32473,-49.104156,30.806797,-45.855194,-4.2342033,-19.365705,4.2074738,-13.603701,14.43268,-15.681189,-58.733025,27.845425,-41.589424,-50.385597,-3.1494026,-4.255661,-24.608736,-33.821346,-27.59003,-37.041786,48.60887,4.231476,18.723476,-25.754087,-53.712227,4.123274,-15.34256,-31.530302,-19.202963,-60.803703,a
