@relation num

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {1,2,3,4,5}

@data
9.647118,0.31140137,-32.892494,-11.915695,-0.72859955,-67.872116,-17.115911,-17.316895,-83.122314,-14.012835,-33.27777,-84.80809,-8.768906,-3.3999557,-23.12655,-33.243057,-8.471603,-61.88241,-47.001667,-13.034256,-84.906296,-55.647873,-16.994667,-100.164764,-23.892948,-6.2725906,-7.6886897,-53.280422,-13.523788,-37.874336,-70.856895,-19.634499,-56.747673,-82.26493,-24.7454,-69.52629,38.573795,24.723656,36.894516,34.976017,-7.2521973,1.6020737,18.87078,-34.99307,-4.3328543,4.5273204,-51.080257,1.7381,-34.671524,-11.44696,8.946733,-64.294945,-16.782463,-6.4961185,-63.76849,-34.52621,-12.417615,-49.386738,-41.41499,-8.212736,1
54.43368,13.59856,17.55295,29.107182,22.429806,-21.963287,12.247664,20.08958,-49.792015,1.2547436,14.9426,-68.60832,-19.510698,26.461903,-8.325627,-43.755463,37.87389,-39.49561,-52.346855,42.955837,-60.35572,-53.908905,45.183414,-76.47461,-23.005495,5.6657524,-6.427079,-36.731827,12.658192,-49.894493,-35.064888,16.289852,-76.80636,-30.00892,18.327793,-93.93956,-19.96515,-15.755859,-3.7462273,-19.404268,-10.880947,-46.21147,-1.599226,-6.843033,-65.424805,14.193465,-4.2896385,-73.40156,-13.432871,-35.169044,-4.12932,-15.412039,-32.322807,-37.78163,-5.9040604,-26.24197,-52.708244,6.5610714,-19.51419,-61.15387,1
19.40335,-13.588951,53.804306,12.26929,-45.6816,19.161512,2.1978807,-64.500534,-5.5077505,-6.4241,-76.16994,-22.562824,6.4365153,-23.149612,-23.934958,-17.847546,-32.52854,-55.74581,-33.47915,-38.885494,-71.55797,-45.277027,-43.80289,-81.74865,-1.8096037,-3.6502686,-24.208712,-30.738312,-9.739899,-59.60318,-49.3519,-14.774681,-78.796974,-62.332264,-18.787598,-90.57276,-9.977109,15.546997,-17.87839,-33.352062,7.599991,-52.775856,-49.03206,1.4597778,-73.24319,-60.15672,-3.2683334,-86.413025,-20.011185,30.927345,-8.798114,-34.66528,24.81166,-38.670372,-43.337395,20.686172,-54.731407,-51.32954,16.579506,-68.560074,1
17.120293,-11.417381,55.06897,9.340055,-45.09385,22.109615,-0.94608593,-64.80434,-1.7619171,-9.630822,-77.016914,-18.399746,5.7285814,-24.865074,-22.341143,-18.24606,-34.49096,-54.312523,-33.77432,-40.735905,-70.27048,-45.504414,-45.45703,-80.63081,-1.3626804,-4.9838715,-23.99927,-29.06849,-11.054207,-60.36218,-47.305115,-16.03592,-79.928085,-60.200584,-19.998672,-91.81362,-8.571647,14.986809,-19.047602,-31.438942,8.373085,-54.55425,-47.411148,2.763382,-74.947784,-59.02523,-1.7690659,-87.75901,-17.939049,31.422974,-11.186714,-32.11522,26.190208,-41.454693,-40.93768,22.216484,-57.47205,-49.336746,18.002045,-71.02437,1
15.610905,-10.990471,55.601818,6.505539,-44.99434,23.325123,-4.46807,-64.69743,-0.24447823,-13.5421915,-76.826675,-16.734797,4.6479387,-25.695587,-21.641373,-19.358555,-34.67753,-53.775826,-34.966335,-40.391144,-69.85483,-46.769833,-44.667854,-80.3242,-1.2796488,-5.494217,-23.892193,-27.628056,-10.014633,-61.46944,-45.43162,-14.067215,-81.639366,-58.22278,-17.42028,-93.82156,-7.4196596,14.967354,-19.540104,-30.302399,10.703873,-55.39508,-46.563816,6.5582733,-75.90987,-58.51087,3.0051575,-88.72395,-15.958653,32.094856,-12.23097,-29.851452,26.579079,-42.57998,-38.749798,22.36792,-58.494366,-47.35939,17.896576,-71.83052,1
11.296749,-14.307823,55.890266,11.523793,-47.724754,21.769709,6.8902435,-67.22293,-3.969553,2.465271,-79.58476,-22.107735,5.055044,-24.818977,-22.55394,-16.12704,-30.792084,-57.270676,-30.434818,-34.85357,-74.97871,-41.59411,-38.032043,-86.49339,0.13486862,-4.2891464,-24.17118,-24.427708,-6.387497,-63.145515,-41.752384,-9.250748,-83.927086,-54.466568,-11.934532,-96.35325,-5.4387894,16.195786,-19.2095,-27.883877,16.759193,-55.586372,-44.310944,15.361641,-76.33908,-56.556343,13.525497,-89.232346,-13.744053,33.32012,-11.628667,-28.130157,31.614296,-42.200325,-37.898773,29.002678,-57.946297,-47.603767,25.611305,-70.84136,1
9.206033,-15.572647,55.935623,8.012938,-48.65487,21.510365,2.696476,-67.58702,-4.517832,-2.1045704,-79.48526,-22.869148,0.2837181,-4.071663,-24.207476,-25.377083,-5.3867874,-62.502594,-43.72068,-7.764824,-82.45438,-57.216293,-10.101486,-94.10217,3.7066975,-24.912605,-22.712067,-16.858143,-28.970482,-58.07068,-30.95021,-31.811165,-76.18494,-42.06975,-34.077454,-87.95101,-3.9174442,16.712059,-19.137642,-28.793877,19.239967,-53.809666,-46.88823,19.055511,-73.17553,-60.271194,18.049858,-84.98411,-11.1299095,34.314285,-11.532974,-26.921661,32.91545,-41.418755,-37.676907,30.453674,-56.5332,-48.3263,27.210175,-68.70042,1
14.984219,-13.971771,55.102776,9.191048,-48.143696,22.244377,0.57346725,-67.77818,-2.3398142,-6.509453,-80.14589,-19.61005,0.5024185,-25.75322,-22.062065,-20.360407,-33.64862,-56.587643,-33.591507,-38.33823,-74.96502,-43.69172,-41.76991,-87.35169,-2.5250664,-4.880821,-23.92619,-33.037193,-7.269394,-58.42296,-53.994736,-10.135033,-75.53394,-69.037155,-12.708305,-85.04007,-5.5944405,16.175858,-19.181566,-35.107185,18.303543,-50.033585,-55.828537,17.971832,-66.55605,-70.81681,16.927261,-76.24203,-11.454821,34.228165,-11.470588,-30.798735,30.599854,-38.986843,-43.36566,27.030548,-52.385147,-55.465897,22.923737,-62.810574,1
16.901278,-13.943672,54.552483,8.274187,-48.232414,22.44624,-2.21883,-67.78467,-1.4653511,-10.558615,-80.05567,-18.236143,-1.5555248,-26.004387,-21.715614,-24.014696,-33.690857,-55.273235,-38.03701,-38.18091,-73.1057,-48.645638,-41.430637,-85.110565,-3.811329,-5.0475235,-23.720396,-35.780357,-6.4993896,-56.925747,-57.512703,-8.648949,-73.1523,-73.0197,-10.67894,-82.02218,-5.7998066,16.171295,-19.124332,-36.827347,19.333931,-48.359,-58.33883,19.818031,-63.83473,-73.78978,19.404694,-72.81554,-10.561186,34.53807,-11.399038,-31.313604,30.778633,-37.85088,-44.619644,27.2546,-50.52812,-57.33081,23.266846,-60.248993,1
21.826048,-10.429184,53.580856,9.318904,-46.701366,25.14047,-3.9047241,-67.62504,3.8920898,-14.119904,-80.83388,-11.026552,-4.2942886,-27.464134,-19.42925,-30.001762,-37.008553,-50.050163,-45.719463,-42.4232,-66.12554,-57.455654,-46.26094,-76.837875,-6.235512,-6.650429,-22.79366,-41.109585,-9.463776,-52.837067,-64.24278,-12.068123,-66.91859,-80.513504,-14.223564,-74.25887,-7.258007,14.899574,-19.652302,-41.034225,17.11068,-45.76081,-63.93485,17.312744,-59.102356,-80.16789,16.865753,-66.57539,-10.800755,33.921974,-12.922793,-34.515976,28.921799,-36.52539,-49.149303,25.00711,-47.512794,-62.837177,20.866867,-55.726906,1
23.79742,-1.8588104,53.72411,9.262705,-42.03312,32.376453,-5.3253374,-65.846085,15.515559,-16.461357,-81.078285,3.4591093,-5.7679987,-30.215843,-14.281047,-33.18201,-44.052937,-41.605347,-50.053844,-51.594475,-55.50674,-62.695896,-56.765587,-64.487755,-7.3454866,-10.224609,-21.075151,-42.151573,-16.689896,-50.629486,-65.210365,-20.767273,-64.481674,-81.44961,-23.546906,-71.68052,-7.714487,11.567116,-21.623535,-41.56233,11.206856,-47.73044,-64.42901,10.393837,-61.10691,-80.63135,9.554085,-68.61268,-10.511228,31.555801,-18.113552,-35.192223,26.689728,-40.73359,-50.105083,23.321198,-51.5244,-63.9519,19.936462,-59.817787,1
