@relation num2

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute feat60 numeric
@attribute feat61 numeric
@attribute feat62 numeric
@attribute feat63 numeric
@attribute feat64 numeric
@attribute feat65 numeric
@attribute feat66 numeric
@attribute feat67 numeric
@attribute feat68 numeric
@attribute feat69 numeric
@attribute feat70 numeric
@attribute feat71 numeric
@attribute feat72 numeric
@attribute feat73 numeric
@attribute feat74 numeric
@attribute feat75 numeric
@attribute feat76 numeric
@attribute feat77 numeric
@attribute feat78 numeric
@attribute feat79 numeric
@attribute feat80 numeric
@attribute feat81 numeric
@attribute feat82 numeric
@attribute feat83 numeric
@attribute feat84 numeric
@attribute feat85 numeric
@attribute feat86 numeric
@attribute feat87 numeric
@attribute feat88 numeric
@attribute feat89 numeric
@attribute feat90 numeric
@attribute feat91 numeric
@attribute feat92 numeric
@attribute feat93 numeric
@attribute feat94 numeric
@attribute feat95 numeric
@attribute feat96 numeric
@attribute feat97 numeric
@attribute feat98 numeric
@attribute feat99 numeric
@attribute feat100 numeric
@attribute feat101 numeric
@attribute feat102 numeric
@attribute feat103 numeric
@attribute feat104 numeric
@attribute feat105 numeric
@attribute feat106 numeric
@attribute feat107 numeric
@attribute feat108 numeric
@attribute feat109 numeric
@attribute feat110 numeric
@attribute feat111 numeric
@attribute feat112 numeric
@attribute feat113 numeric
@attribute feat114 numeric
@attribute feat115 numeric
@attribute feat116 numeric
@attribute feat117 numeric
@attribute feat118 numeric
@attribute feat119 numeric
@attribute sign {6,7,8,9,10}

@data
-1.317337,-0.25437927,60.42034,39.02076,-11.088013,34.612892,64.43053,-20.371368,14.79409,81.380714,-27.125458,0.7602005,31.844444,1.2640076,-14.138676,48.298744,-5.1817017,-52.522522,57.503914,-10.138504,-73.87346,63.96495,-14.406342,-88.78802,11.674225,2.2057953,-22.265442,26.627426,-4.7839813,-66.707565,35.695335,-10.894348,-92.45073,41.797966,-16.003479,-109.13259,-10.652588,1.6128235,-24.132141,3.6046753,-5.7545013,-65.042496,12.91861,-12.846252,-89.6463,19.416367,-18.98285,-105.70356,-31.193008,-2.9249725,-23.114784,-26.045883,-9.940918,-56.786846,-22.559235,-15.542831,-74.85728,-19.057465,-21.658066,-90.276924,-1.7379646,-16.09108,53.362106,-33.529198,8.717377,32.720764,-55.19463,25.570831,18.437645,-70.00882,37.03427,8.425865,-25.672321,16.508896,-10.161324,-40.22333,14.98407,-46.30145,-48.69124,13.143677,-66.45234,-54.816437,11.327911,-80.580574,-7.9785385,11.806137,-18.416847,-21.95449,6.755707,-59.558147,-30.44217,3.2837067,-83.68049,-36.168415,0.7482605,-99.54319,10.667423,3.468628,-21.651451,2.6398392,11.778412,-60.518158,-7.0171585,9.612595,-83.62831,-15.559845,4.1772614,-97.229416,26.195507,-8.109833,-23.206352,27.043987,-3.9236755,-55.010048,23.519138,-5.7686768,-72.30846,17.730438,-10.318283,-86.11019,6
-5.9677124,2.4486237,60.09001,35.215736,1.1042328,33.39412,60.573288,-4.584015,12.19836,78.78627,-7.2400513,-1.6258812,206.98721,13.151718,69.805756,208.15898,37.678192,31.736267,206.79437,53.951553,5.4540825,203.93188,64.60669,-12.694773,194.8955,8.075577,-4.3485565,175.11496,13.47493,-37.510933,162.9854,17.866547,-55.2518,153.91565,21.684677,-67.234436,156.01674,-28.244781,20.866531,136.90723,-33.763107,-4.3146706,124.86895,-31.442307,-17.150457,114.004,-25.717896,-26.839628,29.125488,14.426743,-12.615215,57.33809,-12.525436,-28.839872,65.770355,-33.551315,-21.630356,66.44461,-46.329453,-10.736872,-172.06723,10.95459,-44.448586,-138.66391,-18.745422,-60.25003,-125.93092,-40.782684,-48.65243,-122.907776,-52.7218,-34.870274,-191.66075,0.4671631,-47.352104,-161.46451,-27.037811,-63.565277,-147.07164,-47.31665,-52.42958,-141.63751,-58.51361,-38.90876,-208.16492,-12.609451,-46.96586,-184.45029,-30.827805,-64.72064,-170.56668,-43.60385,-60.966167,-160.21661,-53.981613,-52.445454,-1.5597992,-1.6381226,-23.17554,-25.620552,0.15559387,-59.662575,-41.587463,4.8949738,-79.37498,-52.841713,9.885651,-91.17662,-14.220558,-14.674408,-13.305946,-32.633163,-14.595001,-49.431908,-47.113358,-7.0825043,-68.56078,-57.697334,1.601654,-78.564545,6
-5.188095,0.44917297,60.210464,36.879894,5.534439,35.411697,65.192604,8.029083,17.613138,85.28949,11.417831,6.9122715,192.15121,15.704086,70.78555,193.99554,38.8463,31.885122,194.77664,54.705353,5.3273067,195.93457,65.52132,-12.9149685,148.60706,0.6067352,8.774328,121.45816,2.4661713,-25.473608,104.61118,11.383102,-42.870457,93.89766,21.068924,-51.939575,135.06093,-7.486969,22.140074,109.15892,-7.051422,-9.053056,92.67833,1.6122589,-25.945602,82.335945,11.587738,-34.947567,122.6784,-11.073593,36.679985,96.35537,-11.512924,18.33267,82.42504,-5.6121826,9.048773,71.69319,3.486618,2.212469,-125.16823,9.573517,-43.358044,-103.015366,-25.995087,-48.811092,-106.85234,-42.2312,-31.874924,-114.87761,-46.411484,-17.714283,-143.71239,2.9386597,-52.624195,-113.09538,-29.307083,-69.06711,-102.465744,-52.66356,-57.942356,-100.717,-65.02839,-44.31582,-164.12471,-5.7905273,-55.700134,-136.38924,-36.406097,-70.68796,-124.7307,-57.709892,-58.33416,-121.739105,-68.37382,-43.66974,-181.6395,-17.485092,-55.632595,-158.47594,-39.457626,-69.42321,-147.17172,-52.78859,-61.3871,-141.09471,-61.523247,-48.18863,9.004261,7.5763855,-29.939709,-13.445553,12.647949,-61.411133,-27.417791,21.20198,-75.9973,-37.40461,30.083298,-83.85907,6
-7.533409,24.53299,54.71562,36.406013,18.009964,33.80313,67.48923,17.250137,21.238174,89.23119,19.3647,13.979237,195.78877,23.518768,81.83067,198.29886,44.068512,41.53657,199.09955,58.228455,14.035797,201.01178,67.75244,-4.85186,167.0393,16.3788,12.596804,144.9062,21.353683,-19.113474,131.17734,31.35701,-32.9916,121.74829,41.767715,-39.559113,151.25742,7.108246,20.862888,124.05413,6.457306,-13.386181,107.14565,13.734421,-31.472902,96.31363,22.404816,-41.38932,137.68454,-0.18537903,34.65523,109.181694,2.6383972,5.9545517,91.81078,12.370819,-9.393378,81.18736,22.72908,-17.600685,-32.81243,-13.07193,6.5557404,-59.354733,-12.409866,-11.466095,-73.0938,-5.99263,-20.69218,-83.499504,3.4232635,-27.602932,-125.98085,-7.5812073,-55.97109,-110.03168,-45.064682,-44.736183,-117.57686,-52.160828,-23.337986,-126.93895,-48.899628,-9.768932,-144.95999,-14.735077,-63.86942,-119.17121,-54.51036,-64.52111,-112.15773,-73.70889,-45.429195,-112.31293,-80.87768,-28.39352,-166.37897,-21.137634,-65.46874,-143.75102,-58.76043,-63.5437,-136.62169,-74.37359,-42.382614,-136.2448,-78.278046,-24.429138,-185.55638,-29.409851,-62.761047,-165.84772,-58.013016,-64.47912,-157.24432,-68.469086,-50.814167,-153.28177,-71.900764,-34.691338,6
2.1910706,-1.4845581,59.190105,37.941353,-6.453476,27.345177,61.956284,-10.216751,5.2084312,78.76534,-12.501999,-9.675026,30.187416,3.7800446,-15.580709,40.915836,-18.544891,-48.78784,46.86121,-32.014908,-66.85478,51.01322,-41.977158,-79.3024,9.966286,3.4118958,-22.387112,20.111412,-19.286331,-61.656406,26.18892,-33.299835,-84.42827,30.24786,-42.856644,-99.27904,-11.893768,1.270874,-22.983004,-3.2708817,-18.988937,-60.014576,2.475174,-33.13939,-81.92999,6.535057,-43.43599,-96.14572,-31.567528,-4.65329,-20.947048,-34.967415,-9.855774,-54.471558,-31.730782,-22.51596,-68.070816,-25.96489,-37.438736,-72.578476,11.426041,15.448944,56.04685,-6.021965,49.921143,27.339596,-17.063011,74.52777,8.53735,-24.927551,91.07976,-4.6332474,-11.106689,25.324493,-20.090763,-30.98082,31.36348,-55.934383,-50.971214,31.567917,-67.915436,-67.244316,29.815002,-69.79743,-5.6630554,4.985718,-23.563173,-28.97253,5.1340485,-63.77333,-43.95536,5.1295624,-86.738235,-54.45073,5.0808563,-101.50975,0.19673157,-15.955582,-20.412643,-17.722473,-16.917847,-59.58058,-29.473629,-17.508575,-83.561806,-37.75636,-17.903473,-99.55649,2.4492188,-35.439667,-13.963255,-7.609627,-48.816467,-43.668446,-13.736725,-56.1484,-59.928757,-19.545273,-62.555603,-74.12249,6
1.2378311,-0.20152283,59.23597,37.07944,-7.73761,28.003635,60.228764,-13.832535,5.4675426,78.37247,-16.288284,-7.7256117,30.573544,-1.6757202,-15.191367,39.969204,-22.776955,-49.581406,44.97193,-35.76506,-68.275925,48.354572,-45.50483,-81.125946,10.648636,1.1073914,-22.305397,18.609573,-20.419823,-62.720905,23.287392,-34.143593,-85.99425,26.365646,-43.709938,-101.07278,-11.256508,2.5829773,-23.192986,-5.3606873,-17.767876,-60.706093,-1.5918655,-31.847275,-83.091446,1.0001984,-42.051437,-97.711494,-31.660576,0.04046631,-21.32012,-35.927597,-8.492966,-54.053757,-35.117844,-22.27105,-66.90696,-32.28808,-37.954803,-71.62564,16.934776,23.803337,51.546947,7.2011337,53.269295,14.751759,0.7363281,73.56393,-10.293188,-5.824379,85.38723,-28.361126,-5.6658974,22.39222,-25.19551,-27.937267,25.053688,-60.025352,-43.838444,26.865944,-76.968544,-56.706585,28.293404,-87.15686,-5.2703705,1.0824432,-24.149578,-30.112644,-2.603279,-63.25824,-46.210724,-4.32621,-85.38866,-57.569523,-5.225914,-99.47841,-4.348778,-19.495682,-16.501566,-25.805588,-23.038681,-53.69301,-40.36376,-24.745201,-76.02427,-50.83796,-25.628357,-90.65645,-6.4600677,-37.13961,-5.98814,-20.842407,-48.994545,-34.538563,-29.655663,-55.12442,-50.044926,-38.026222,-60.206158,-63.47487,6
7.6135178,12.869774,57.331287,39.97881,8.221443,22.007729,58.3516,0.85001373,-4.241411,74.014465,-0.69581604,-20.414505,196.54962,9.203712,60.52531,201.75378,30.00695,17.43222,204.20956,44.00408,-12.2151165,202.14651,52.723763,-32.92731,168.02254,4.105324,-14.056175,146.91539,10.3799515,-49.146534,133.7523,15.3951645,-67.71489,123.78675,19.751625,-80.08975,156.6853,-12.844162,-7.7681656,129.99185,-10.6176605,-45.75123,113.03801,-7.291954,-67.043915,101.26838,-4.0431976,-80.43326,146.97034,-28.068016,4.748005,120.128235,-26.140831,-28.896282,102.05484,-21.84687,-48.091396,89.27874,-17.347359,-59.97059,-26.581558,-27.204582,3.2050762,-50.0058,-29.780869,-21.436058,-63.726364,-28.94571,-34.349026,-76.196045,-26.667412,-45.09938,-134.9652,12.676857,-35.10653,-121.46342,-23.964783,-48.937927,-118.891075,-44.909065,-39.042286,-119.92967,-55.197147,-26.216335,-155.64595,9.788712,-39.50217,-138.4924,-31.506226,-52.178696,-131.69473,-53.74079,-37.642952,-130.08212,-62.685314,-21.966604,-177.27518,6.599884,-37.309223,-163.0114,-31.394897,-51.76925,-153.9339,-53.231575,-39.347633,-149.70184,-62.424507,-24.442295,-196.23843,0.47133636,-31.911703,-186.42175,-29.281609,-45.36209,-176.99194,-43.538002,-37.39151,-169.43933,-50.30375,-24.221985,6
6.157898,1.010315,58.919716,38.925476,-6.4466553,24.45884,57.15329,-14.130936,-1.8016481,75.196205,-15.499344,-15.2873745,201.30116,-8.576187,64.000244,210.52315,10.082382,20.598808,215.24007,22.814957,-9.34359,214.39317,31.341187,-30.221092,158.0769,-24.173592,-4.026642,133.05077,-21.349709,-43.08977,117.02052,-16.513306,-64.80411,105.87912,-11.631119,-78.2349,145.67831,-37.057602,8.7435465,118.1044,-28.69992,-23.287376,100.16836,-18.63559,-40.332767,88.00935,-9.520538,-50.010777,133.62308,-45.210556,23.389313,108.6451,-38.793022,1.0860853,94.99649,-30.994652,-9.334906,83.5495,-21.622002,-16.909424,-135.63092,21.247421,-37.405685,-131.35306,-17.71302,-50.822056,-136.01103,-37.942352,-40.225803,-141.26723,-46.810944,-27.374773,-156.05685,24.067795,-42.899593,-148.26337,-19.053581,-58.392136,-148.40053,-43.127426,-45.26569,-150.38791,-53.26293,-30.376945,-177.94821,25.727951,-41.99772,-171.59372,-11.693626,-62.37902,-168.64528,-36.65628,-53.33963,-167.75601,-48.59619,-39.877193,-198.14444,23.414093,-38.38432,-191.97969,-7.6700897,-50.96556,-186.5534,-22.977692,-41.377605,-182.43631,-30.543571,-27.1628,7.564598,13.749008,-30.365587,-12.546585,18.989578,-66.20261,-25.275463,24.298218,-84.99083,-34.973175,29.363968,-97.308334,6
3.3345184,-8.846222,58.490154,37.034847,-13.790741,24.479683,58.160576,-18.062698,-0.34708786,77.93174,-17.929993,-11.226767,-32.3488,4.710541,-19.705507,-26.488464,-25.355309,-34.679443,-22.478645,-40.854805,-24.710339,-20.030777,-48.146698,-9.97637,211.6156,-9.528442,60.140606,221.41035,8.931641,16.779785,226.32048,21.617416,-13.151406,225.49722,30.307526,-33.96218,181.94034,-8.832596,-14.16337,162.3017,-3.0119934,-50.17253,149.7077,3.1561432,-68.78835,140.07278,9.115646,-80.75,166.99393,-22.540817,-7.526639,141.95651,-19.701187,-46.581406,125.932465,-14.485199,-68.21229,114.826324,-9.14563,-81.49745,-19.904999,-12.497948,-10.903551,-48.260933,-1.4677582,-41.406456,-66.242424,10.141464,-57.388622,-78.21774,20.18892,-66.34575,-32.207493,-20.125336,3.819538,-57.513607,-10.797173,-17.039604,-70.90759,-1.5143433,-26.533085,-81.87686,8.998291,-33.27204,-144.126,21.386505,-32.785824,-141.91684,-16.447975,-49.515656,-148.85403,-36.883194,-40.713356,-155.57013,-46.205612,-28.905943,-164.10602,26.162476,-38.560436,-158.35117,-16.483253,-56.122726,-161.29947,-40.800644,-43.80021,-165.08405,-51.23771,-29.478987,-185.91284,28.84282,-38.279415,-180.46893,-7.25428,-61.159847,-179.52434,-32.825798,-53.495453,-180.12592,-45.63784,-40.84321,6
-3.382721,-13.891266,57.498375,34.051315,-16.162796,27.32545,58.39991,-18.248108,5.3319883,79.157265,-17.477356,-3.4896898,-29.876724,6.807373,-22.75922,-22.285324,-24.346268,-34.34968,-20.418503,-37.95314,-21.42435,-20.694565,-42.667603,-5.4885015,211.88345,-12.66333,65.82508,216.84863,9.841217,23.566769,217.0787,25.343658,-5.425232,214.26569,35.94763,-25.146461,181.28955,-8.272858,-7.978193,161.35602,-0.41049194,-43.433144,148.51013,7.412323,-61.23736,138.71747,14.772293,-72.25385,165.91583,-21.625885,-1.5983753,140.16782,-18.248901,-40.14505,123.75438,-12.530212,-61.35278,112.42605,-6.750183,-74.26064,-20.510696,-11.3495865,-11.036022,-49.338833,2.2986145,-39.998344,-67.33554,14.825348,-55.25407,-79.2676,25.159775,-63.938263,-32.903706,-19.00978,3.5938263,-58.136627,-7.3476715,-16.14985,-71.31364,2.8148346,-25.025986,-82.05482,13.840866,-31.29554,-141.6657,22.603455,-35.13333,-138.94121,-14.94799,-52.415733,-147.82823,-35.042915,-44.642822,-156.28915,-44.140076,-33.82234,-160.84244,28.116745,-42.697266,-153.5961,-13.466408,-62.15342,-158.36412,-38.309135,-51.571503,-163.96864,-49.374733,-38.361855,-182.53085,31.044662,-44.65702,-174.65837,-3.1664581,-69.63249,-174.71745,-29.275414,-63.9883,-176.82343,-43.045578,-52.563026,6
