@relation numLeft

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute feat21 numeric
@attribute feat22 numeric
@attribute feat23 numeric
@attribute feat24 numeric
@attribute feat25 numeric
@attribute feat26 numeric
@attribute feat27 numeric
@attribute feat28 numeric
@attribute feat29 numeric
@attribute feat30 numeric
@attribute feat31 numeric
@attribute feat32 numeric
@attribute feat33 numeric
@attribute feat34 numeric
@attribute feat35 numeric
@attribute feat36 numeric
@attribute feat37 numeric
@attribute feat38 numeric
@attribute feat39 numeric
@attribute feat40 numeric
@attribute feat41 numeric
@attribute feat42 numeric
@attribute feat43 numeric
@attribute feat44 numeric
@attribute feat45 numeric
@attribute feat46 numeric
@attribute feat47 numeric
@attribute feat48 numeric
@attribute feat49 numeric
@attribute feat50 numeric
@attribute feat51 numeric
@attribute feat52 numeric
@attribute feat53 numeric
@attribute feat54 numeric
@attribute feat55 numeric
@attribute feat56 numeric
@attribute feat57 numeric
@attribute feat58 numeric
@attribute feat59 numeric
@attribute sign {1,2,3,4,5}

@data
2.4079247,-12.723129,59.781616,38.066193,-16.46875,36.209824,57.920967,-22.533981,15.522112,67.05246,-29.095032,-1.1597996,18.621984,6.9714813,-6.828538,28.35381,1.760025,-42.070183,33.993668,-5.576767,-60.67222,37.96203,-12.377594,-73.06978,0.038324356,6.3199463,-10.839251,12.574452,-18.785385,-41.322723,20.062998,-41.429535,-46.676414,24.220577,-56.918777,-44.744305,-19.213825,2.9206085,-9.626359,-6.328186,-25.817795,-31.606102,1.0895538,-47.550766,-25.306152,4.6243553,-59.769974,-15.501012,-36.041843,-4.0682983,-7.029625,-26.365883,-25.184433,-26.633541,-17.853836,-39.43515,-23.963978,-11.040749,-49.452988,-15.434152,1
-14.428879,37.792892,33.95889,6.1301327,36.702072,-3.688263,26.199127,32.733948,-24.675644,41.178066,29.277237,-37.652554,-2.178585,-11.600464,-18.631863,16.294182,-20.675278,-54.591278,29.228464,-21.239899,-75.32489,38.45838,-19.486877,-88.46532,-14.763634,0.19454956,-26.654133,2.96875,9.903748,-57.5594,16.957664,24.598373,-62.037224,26.116528,35.92302,-60.148865,10.973873,-19.311035,-6.3342266,31.271389,8.459335,-23.418201,33.20754,28.780487,-11.157035,30.139511,37.772034,1.7922459,24.89225,-22.596146,5.252699,38.450466,-0.7708435,-10.984902,36.064335,14.910843,-5.4121304,30.279049,24.626053,4.1627426,1
0.58794403,-12.607529,-18.087795,22.24295,-18.595917,-52.89978,35.742847,-17.963654,-73.267654,44.843647,-15.569366,-86.39694,-22.664639,35.182785,32.22089,-1.761116,37.498535,-5.1803246,19.1836,37.319122,-25.68075,34.68172,36.840057,-38.49856,-14.193592,-4.2178497,-26.63076,1.3648453,7.9753113,-57.82536,11.816563,25.258362,-62.696743,18.193626,38.390656,-61.092224,14.989496,-16.70279,-5.458626,28.991926,13.911865,-23.944284,25.844944,34.27234,-12.003527,20.378765,42.15056,0.88054276,29.177916,-16.348068,6.2602882,37.544415,7.1221313,-11.146036,32.019768,21.843811,-5.194992,24.609447,29.66745,4.9741325,1
2.7419167,-12.241638,-18.140774,26.296654,-16.902939,-51.906456,40.431713,-16.049347,-71.83053,49.758183,-13.726913,-84.81354,-28.000313,31.533142,31.801638,-6.5876274,37.0838,-4.9659863,14.771549,39.94513,-24.830002,30.521824,41.696198,-37.222748,-12.798477,-5.8167877,-27.033487,1.8181915,8.7009735,-57.683586,9.978296,27.292664,-62.09204,14.47994,41.140213,-60.174023,17.2248,-14.500687,-5.1479073,27.36129,18.142807,-22.660744,20.445503,36.881958,-9.697334,13.240635,42.60472,3.4664192,30.925913,-12.369385,6.956106,36.181065,12.329514,-9.960676,28.6209,25.617188,-2.964531,20.303658,31.270172,7.916662,1
0.50634,-17.004349,-17.064775,23.815166,-33.156433,-47.27212,39.267242,-38.203217,-65.52755,50.049686,-39.293716,-77.50607,-17.470333,42.85533,21.00383,6.9542847,34.447952,-13.25876,29.35014,26.698837,-30.502815,45.62397,21.061935,-40.900192,-11.357258,-7.853134,-28.7854,10.107445,-3.4423523,-58.511696,24.088629,11.006958,-63.747753,31.839462,23.270386,-61.46054,12.463215,-21.16809,-2.1192627,34.046818,2.8142853,-22.952847,31.714878,24.328796,-13.016958,25.069826,33.224518,-1.4129028,25.201303,-21.171158,11.166485,39.21775,-2.7368011,-8.519617,35.90965,12.975494,-3.5351734,29.224571,21.97351,6.153923,1
-0.30311394,-25.171112,-17.16883,15.3080845,-31.848389,-49.964344,21.943243,-33.62787,-69.572525,25.396267,-33.794067,-83.84654,-42.09439,6.3927,31.25534,-35.48782,-14.161179,-5.8264923,-24.102058,-12.404205,-32.77567,-15.129673,-6.9032288,-49.92073,12.577007,-11.543915,-13.964967,-13.073059,5.114044,-41.91601,-31.034115,16.688797,-30.044914,-37.837822,21.046265,-16.05716,21.179367,4.931961,-7.7829857,-1.9235706,18.25061,-35.42196,-22.076645,26.137207,-25.487724,-30.734573,28.53392,-12.17455,25.591608,22.19809,-3.1805038,6.687916,28.145798,-26.226198,-8.4426155,32.263138,-20.161627,-17.336632,34.47139,-8.518896,1
-5.05925,-11.946991,-27.570257,16.260393,-29.130005,-52.35045,30.56371,-34.221344,-66.533745,41.50351,-35.2164,-76.28203,-28.429512,43.02658,11.409523,-3.4443436,33.82045,-22.238056,21.80345,27.107224,-35.52196,40.863365,22.705688,-40.21916,5.2394485,-17.380157,-12.527645,30.65578,7.633499,-33.62271,23.605877,28.446655,-22.917145,13.441042,34.149902,-11.73304,14.261877,-17.506165,4.857746,35.807793,7.2963104,-15.033356,25.54813,26.78302,-5.975704,14.177582,31.618866,4.2844048,23.811111,-13.64975,20.11259,38.856125,4.017685,0.48255157,31.05006,18.2202,4.956764,20.753895,23.692413,14.098801,1
-4.8814926,-10.681046,-28.116402,18.51984,-22.387207,-54.17757,33.411076,-25.257172,-68.37923,44.557182,-25.354599,-77.942345,-26.059761,44.336365,12.036453,-0.3881836,34.804855,-20.998251,24.860485,27.023941,-33.684563,43.77268,21.620407,-37.90931,4.558487,-17.251282,-12.964457,30.728523,9.802017,-30.282742,22.945068,29.263412,-17.706219,12.385561,34.080627,-6.471161,12.978155,-18.524963,4.6752357,35.641594,7.184326,-12.658133,24.971745,25.721664,-2.191269,13.272354,29.726746,8.057056,22.241089,-15.789001,20.34312,38.569363,2.2199402,2.0977287,31.131012,16.33908,7.3878555,20.828938,21.593292,16.650345,1
-5.8785744,-18.544815,-23.451603,17.09441,-36.38156,-46.20976,31.450438,-42.846375,-59.76643,42.101593,-45.509354,-69.52142,-28.002125,44.776382,0.81069946,-3.7436447,27.25267,-29.940178,21.149357,17.241287,-41.733883,40.080265,11.668533,-45.64318,4.8402977,-20.051392,-7.808754,28.199745,1.9077454,-34.053883,20.39993,24.104935,-27.424774,10.442827,32.045532,-17.488056,14.361742,-15.816818,8.776852,34.63791,4.162094,-17.006186,24.7253,25.43303,-12.966211,13.811531,33.3515,-4.240841,24.356016,-8.281158,22.271233,38.518044,4.216797,-1.541935,30.888142,19.169708,-0.6148453,20.93234,27.137344,6.9304733,1
-2.1433945,-20.03215,-22.859673,25.808157,-35.1774,-41.652573,42.810757,-39.15796,-52.91043,55.085182,-39.664246,-60.959076,-29.23428,43.63849,-5.544365,-0.55558777,25.408157,-31.742811,25.983595,15.737808,-39.561817,45.43087,10.6983185,-40.62233,6.450062,-20.252579,-5.8900948,32.470524,0.9505615,-30.180775,23.399338,23.291214,-26.167545,12.05695,31.593689,-18.208002,13.554737,-14.738831,11.510883,36.150993,4.9913177,-12.47193,24.864813,25.897339,-10.861216,12.584057,33.712677,-4.0753345,21.435255,-6.0850677,25.715809,38.00965,5.9615326,3.265915,29.807539,20.604721,2.2826042,18.694778,28.656952,7.868416,1
